Localizaciůn;Precio m2 sep 2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;;
EspaŮa; 14,50 ; 13,50 ; 12,10 ; 11,00 ; 10,30 ; 10,70 ; 10,40 ; 10,00 ; 9,20 ; 8,20 ; 7,40 ; 7,20 ; 7,20 ; 7,50 ; 8,10 ; 7,80 ;;
AndalucŪa; 12,40 ; 11,80 ; 10,70 ; 9,40 ; 8,70 ; 8,60 ; 8,40 ; 7,80 ; 7,20 ; 6,50 ; 6,20 ; 6,00 ; 6,00 ; 6,30 ; 6,60 ; 6,70 ;;
Aragůn; 10,00 ; 9,40 ; 8,70 ; 8,20 ; 7,90 ; 7,80 ; 7,70 ; 7,20 ; 6,80 ; 6,40 ; 6,10 ; 5,80 ; 6,00 ; 6,30 ; 7,00 ; 5,10 ;;
Asturias; 9,90 ; 9,40 ; 8,40 ; 7,80 ; 7,50 ; 7,30 ; 7,20 ; 6,90 ; 6,60 ; 6,30 ; 6,00 ; 6,00 ; 6,00 ; 6,40 ; 6,80 ; 9,30 ;;
Baleares; 19,20 ; 17,60 ; 16,10 ; 13,60 ; 12,00 ; 11,50 ; 12,40 ; 12,20 ; 11,80 ; 10,20 ; 8,20 ; 7,90 ; 7,60 ; 7,80 ; 8,20 ; 7,70 ;;
Canarias; 15,00 ; 14,10 ; 12,80 ; 11,50 ; 10,20 ; 9,80 ; 10,40 ; 9,60 ; 9,40 ; 7,90 ; 6,90 ; 6,50 ; 6,40 ; 6,60 ; 6,90 ; 6,90 ;;
Cantabria; 11,50 ; 10,40 ; 9,30 ; 8,60 ; 8,10 ; 7,80 ; 7,60 ; 7,30 ; 6,80 ; 6,60 ; 6,00 ; 6,10 ; 6,00 ; 6,50 ; 7,10 ; 4,60 ;;
Castilla y Leůn; 8,90 ; 8,50 ; 7,70 ; 7,10 ; 6,80 ; 6,70 ; 5,00 ; 6,10 ; 4,10 ; 4,00 ; 5,20 ; 5,10 ; 5,20 ; 5,40 ; 5,60 ; 6,50 ;;
Castilla - La Mancha; 8,00 ; 7,40 ; 6,70 ; 6,10 ; 5,90 ; 5,60 ; 5,80 ; 5,10 ; 5,30 ; 4,90 ; 4,50 ; 4,40 ; 4,50 ; 4,90 ; 5,20 ; 9,80 ;;
CataluŮa; 19,10 ; 18,00 ; 16,00 ; 14,60 ; 13,60 ; 13,30 ; 14,30 ; 13,30 ; 14,10 ; 13,10 ; 10,00 ; 9,10 ; 8,60 ; 9,10 ; 9,70 ; 6,40 ;;
Comunitat Valenciana; 12,40 ; 7,90 ; 10,10 ; 6,90 ; 6,30 ; 6,00 ; 6,30 ; 5,20 ; 6,20 ; 5,80 ; 5,30 ; 5,20 ; 5,20 ; 5,40 ; 5,70 ; 5,80 ;;
PaŪs Vasco; 14,90 ; 16,10 ; 13,20 ; 14,10 ; 14,90 ; 13,70 ; 14,60 ; 12,90 ; 8,40 ; 7,80 ; 9,70 ; 9,90 ; 9,90 ; 10,40 ; 11,20 ; 11,00 ;;
Extremadura; 7,30 ; 7,20 ; 6,30 ; 5,70 ; 5,80 ; 5,20 ; 5,30 ; 4,70 ; 4,70 ; 4,50 ; 4,30 ; 4,30 ; 4,50 ; 4,60 ; 4,80 ;;;
Galicia; 9,30 ; 6,70 ; 8,10 ; 5,80 ; 5,90 ; 5,20 ; 5,50 ; 4,70 ; 5,50 ; 5,20 ; 5,40 ; 5,50 ; 5,60 ; 5,80 ; 6,30 ;;;
La Rioja; 9,00 ; 18,80 ; 7,70 ; 14,50 ; 13,30 ; 13,90 ; 14,10 ; 13,80 ; 5,50 ; 5,20 ; 5,10 ; 5,10 ; 5,20 ; 5,80 ; 6,00 ;;;
Madrid Comunidad; 20,90 ; 10,00 ; 16,20 ; 9,20 ; 9,00 ; 8,50 ; 8,50 ; 8,50 ; 12,70 ; 11,60 ; 10,50 ; 10,00 ; 9,80 ; 10,10 ; 10,80 ;;;
Murcia Regiůn; 8,90 ; 10,50 ; 7,60 ; 9,30 ; 9,00 ; 8,70 ; 8,30 ; 7,70 ; 5,30 ; 5,00 ; 4,90 ; 4,80 ; 5,00 ; 6,80 ; 7,30 ;;;
Navarra; 10,70 ;; 9,80 ;;;;;; 7,00 ; 6,60 ; 6,30 ; 6,30 ; 6,30 ;;;;;
