;;;;;;;;;;;;;;;;
Localización;Precio m2 sep 2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010
Espańa; 2.517,00 ; 2.271,00 ; 2.042,00 ; 1.888,00 ; 1.809,00 ; 1.754,00 ; 1.739,00 ; 1.670,00 ; 1.549 €/m2 ; 1.509 €/m2 ; 1.524 €/m2 ; 1.564 €/m2 ; 1.622 €/m2 ; 1.718 €/m2 ; 1.924 €/m2 ; 1.974 €/m2 
Andalucía; 2.679,00 ; 2.318,00 ; 2.078,00 ; 1.891,00 ; 1.778,00 ; 1.660,00 ; 1.652,00 ; 1.525,00 ; 1.458 €/m2 ; 1.403 €/m2 ; 1.373 €/m2 ; 1.362 €/m2 ; 1.404 €/m2 ; 1.499 €/m2 ; 1.668 €/m2 ; 1.746 €/m2 
Aragón; 1.506,00 ; 1.497,00 ; 1.417,00 ; 1.333,00 ; 1.319,00 ; 1.318,00 ; 1.320,00 ; 1.288,00 ; 1.255 €/m2 ; 1.243 €/m2 ; 1.276 €/m2 ; 1.312 €/m2 ; 1.425 €/m2 ; 1.530 €/m2 ; 1.692 €/m2 ; 1.770 €/m2 
Asturias; 1.635,00 ; 1.471,00 ; 1.371,00 ; 1.343,00 ; 1.336,00 ; 1.346,00 ; 1.337,00 ; 1.348,00 ; 1.360 €/m2 ; 1.373 €/m2 ; 1.393 €/m2 ; 1.426 €/m2 ; 1.512 €/m2 ; 1.598 €/m2 ; 1.818 €/m2 ; 1.809 €/m2 
Baleares; 5.090,00 ; 4.707,00 ; 4.083,00 ; 3.625,00 ; 3.291,00 ; 3.091,00 ; 3.042,00 ; 2.867,00 ; 2.438 €/m2 ; 2.084 €/m2 ; 1.977 €/m2 ; 1.962 €/m2 ; 1.977 €/m2 ; 2.028 €/m2 ; 2.301 €/m2 ; 2.482 €/m2 
Canarias; 3.084,00 ; 2.846,00 ; 2.432,00 ; 2.099,00 ; 1.966,00 ; 1.867,00 ; 1.847,00 ; 1.755,00 ; 1.502 €/m2 ; 1.395 €/m2 ; 1.306 €/m2 ; 1.298 €/m2 ; 1.309 €/m2 ; 1.431 €/m2 ; 1.572 €/m2 ; 1.658 €/m2 
Cantabria; 2.010,00 ; 1.746,00 ; 1.572,00 ; 1.500,00 ; 1.465,00 ; 1.448,00 ; 1.447,00 ; 1.461,00 ; 1.474 €/m2 ; 1.480 €/m2 ; 1.513 €/m2 ; 1.572 €/m2 ; 1.633 €/m2 ; 1.788 €/m2 ; 1.961 €/m2 ; 2.000 €/m2 
Castilla y León; 1.248,00 ; 1.216,00 ; 1.176,00 ; 1.137,00 ; 1.148,00 ; 1.135,00 ; 1.148,00 ; 1.167,00 ; 1.147 €/m2 ; 1.160 €/m2 ; 1.164 €/m2 ; 1.188 €/m2 ; 1.267 €/m2 ; 1.347 €/m2 ; 1.434 €/m2 ; 1.451 €/m2 
Castilla - La Mancha; 987,00 ; 957,00 ; 917,00 ; 889,00 ; 879,00 ; 868,00 ; 875,00 ; 884,00 ; 862 €/m2 ; 861 €/m2 ; 875 €/m2 ; 907 €/m2 ; 962 €/m2 ; 1.034 €/m2 ; 1.181 €/m2 ; 1.271 €/m2 
Cataluńa; 2.647,00 ; 2.495,00 ; 2.339,00 ; 2.295,00 ; 2.277,00 ; 2.244,00 ; 2.212,00 ; 2.123,00 ; 1.936 €/m2 ; 1.819 €/m2 ; 1.806 €/m2 ; 1.825 €/m2 ; 1.862 €/m2 ; 1.955 €/m2 ; 2.243 €/m2 ; 2.340 €/m2 
Comunitat Valenciana; 2.321,00 ; 2.061,00 ; 1.776,00 ; 1.851,00 ; 1.681,00 ; 1.607,00 ; 1.561,00 ; 1.516,00 ; 1.393 €/m2 ; 1.344 €/m2 ; 1.317 €/m2 ; 1.288 €/m2 ; 1.281 €/m2 ; 1.316 €/m2 ; 1.404 €/m2 ; 1.483 €/m2 
País Vasco; 3.299,00 ; 3.076,00 ; 2.864,00 ; 2.212,00 ; 2.184,00 ; 2.045,00 ; 1.997,00 ; 1.911,00 ; 1.852 €/m2 ; 1.805 €/m2 ; 1.826 €/m2 ; 1.903 €/m2 ; 1.996 €/m2 ; 2.103 €/m2 ; 2.386 €/m2 ; 2.453 €/m2 
Extremadura; 989,00 ; 986,00 ; 959,00 ; 967,00 ; 953,00 ; 919,00 ; 899,00 ; 917,00 ; 916 €/m2 ; 941 €/m2 ; 948 €/m2 ; 963 €/m2 ; 1.033 €/m2 ; 1.108 €/m2 ; 1.199 €/m2 ; 1.167 €/m2 
Galicia; 1.473,00 ; 1.437,00 ; 1.375,00 ; 1.282,00 ; 1.270,00 ; 1.304,00 ; 1.317,00 ; 1.326,00 ; 1.363 €/m2 ; 1.415 €/m2 ; 1.415 €/m2 ; 1.452 €/m2 ; 1.529 €/m2 ; 1.579 €/m2 ; 1.817 €/m2 ; 1.648 €/m2 
La Rioja; 1.397,00 ; 1.349,00 ; 1.327,00 ; 1.260,00 ; 1.265,00 ; 1.240,00 ; 1.199,00 ; 1.200,00 ; 1.121 €/m2 ; 1.110 €/m2 ; 1.125 €/m2 ; 1.145 €/m2 ; 1.206 €/m2 ; 1.389 €/m2 ; 1.484 €/m2 ; 1.589 €/m2 
Madrid Comunidad; 4.343,00 ; 3.771,00 ; 3.208,00 ; 3.062,00 ; 2.897,00 ; 2.774,00 ; 2.723,00 ; 2.658,00 ; 2.245 €/m2 ; 2.160 €/m2 ; 2.153 €/m2 ; 2.167 €/m2 ; 2.229 €/m2 ; 2.313 €/m2 ; 2.546 €/m2 ; 2.628 €/m2 
Murcia Región; 1.555,00 ; 1.379,00 ; 1.186,00 ; 1.080,00 ; 1.063,00 ; 1.048,00 ; 1.058,00 ; 1.006,00 ; 1.024 €/m2 ; 1.008 €/m2 ; 1.012 €/m2 ; 1.049 €/m2 ; 1.101 €/m2 ; 1.156 €/m2 ; 1.326 €/m2 ; 1.385 €/m2 
Navarra; 1.779,00 ; 1.795,00 ; 1.687,00 ; 1.568,00 ; 1.484,00 ; 1.451,00 ; 1.427,00 ; 1.405,00 ; 1.382 €/m2 ; 1.408 €/m2 ; 1.384 €/m2 ; 1.413 €/m2 ; 1.518 €/m2 ; 1.638 €/m2 ; 1.751 €/m2 ; 1.718 €/m2 
