Resultados nacionales y por comunidades aútonomas;;;;;;;;;;;;;;
Distribución salarial;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Medias y percentiles por sexo y CCAA;;;;;;;;;;;;;;
Unidades: €;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Media;;;;;;;;;;;;;
;Ambos sexos;;;;;;;;;;;;;
;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010
Andalucía; 25.051,51 ; 24.094,32 ; 23.154,99 ; 22.323,85 ; 22.060,99 ; 21.805,92 ; 21.404,28 ; 21.268,41 ; 21.381,03 ; 20.840,30 ; 20.782,03 ; 20.891,63 ; 21.350,98 ; 20.964,36 
Aragón; 26.822,32 ; 26.012,71 ; 25.011,55 ; 24.113,57 ; 23.565,09 ; 23.531,83 ; 23.039,94 ; 22.248,76 ; 22.327,18 ; 22.095,79 ; 22.054,85 ; 22.103,79 ; 22.333,53 ; 22.316,69 
Asturias; 27.916,60 ; 26.745,93 ; 25.046,60 ; 24.527,96 ; 24.865,89 ; 23.914,61 ; 23.609,67 ; 23.095,83 ; 22.826,06 ; 22.045,29 ; 21.994,99 ; 21.750,66 ; 22.286,48 ; 22.241,39 
Baleares; 27.537,00 ; 27.145,79 ; 24.134,73 ; 23.881,42 ; 23.325,33 ; 22.800,87 ; 22.036,46 ; 21.478,34 ; 21.395,42 ; 21.322,08 ; 20.776,29 ; 20.960,53 ; 21.351,00 ; 21.613,60 
Canarias; 24.033,57 ; 23.096,92 ; 22.466,23 ; 21.631,17 ; 20.861,14 ; 20.763,48 ; 20.185,33 ; 19.749,03 ; 19.856,61 ; 19.436,48 ; 19.167,93 ; 19.277,62 ; 19.516,96 ; 19.315,56 
Cantabria; 26.568,70 ; 25.291,14 ; 24.470,70 ; 23.495,12 ; 23.347,52 ; 22.554,83 ; 22.390,40 ; 22.063,02 ; 21.856,81 ; 21.199,83 ; 20.052,12 ; 20.191,51 ; 20.931,68 ; 21.156,79 
Castilla y León; 25.227,03 ; 24.186,89 ; 23.564,33 ; 22.948,76 ; 22.061,44 ; 22.034,53 ; 21.846,88 ; 21.551,57 ; 21.296,10 ; 20.524,83 ; 20.440,56 ; 20.569,14 ; 21.029,37 ; 20.960,87 
Castilla - La Mancha; 24.885,63 ; 23.751,71 ; 23.234,55 ; 22.575,01 ; 21.908,92 ; 21.756,38 ; 21.033,32 ; 20.825,87 ; 20.670,55 ; 20.644,88 ; 20.630,07 ; 20.536,42 ; 20.664,90 ; 20.363,01 
Cataluńa; 29.978,69 ; 28.774,55 ; 28.145,02 ; 27.100,11 ; 25.968,20 ; 25.552,84 ; 25.180,45 ; 24.454,64 ; 24.321,57 ; 23.927,17 ; 24.253,73 ; 24.436,39 ; 24.499,32 ; 24.449,19 
Comunitat Valenciana; 25.632,37 ; 24.510,34 ; 23.448,29 ; 22.856,70 ; 22.045,66 ; 22.121,05 ; 21.362,39 ; 21.168,81 ; 20.935,41 ; 20.639,58 ; 20.878,02 ; 21.223,72 ; 21.316,34 ; 20.707,24 
Extremadura; 23.684,22 ; 21.922,73 ; 21.393,01 ; 20.479,30 ; 19.940,68 ; 19.947,80 ; 19.672,40 ; 19.475,20 ; 19.564,49 ; 19.180,57 ; 19.129,72 ; 19.721,35 ; 19.879,46 ; 19.480,55 
Galicia; 25.279,15 ; 24.169,68 ; 23.305,86 ; 22.834,66 ; 22.177,40 ; 22.244,59 ; 21.605,88 ; 21.082,12 ; 20.624,55 ; 20.195,89 ; 19.824,66 ; 19.389,20 ; 19.970,29 ; 20.241,99 
Madrid Comunidad; 32.219,60 ; 31.230,73 ; 29.512,58 ; 28.829,06 ; 27.817,76 ; 27.010,93 ; 27.089,12 ; 26.330,14 ; 26.448,04 ; 26.570,35 ; 26.215,36 ; 26.044,39 ; 25.845,20 ; 25.988,95 
Murcia Región; 25.329,87 ; 23.851,69 ; 23.281,39 ; 22.919,62 ; 22.123,99 ; 21.510,59 ; 21.309,22 ; 21.242,50 ; 20.928,98 ; 20.717,07 ; 20.449,83 ; 20.682,01 ; 21.077,49 ; 20.863,37 
Navarra; 31.199,66 ; 29.189,52 ; 28.459,37 ; 27.995,96 ; 27.493,93 ; 26.364,75 ; 26.329,79 ; 25.468,38 ; 24.863,98 ; 24.700,78 ; 23.836,93 ; 23.784,38 ; 24.384,92 ; 23.824,88 
País Vasco; 33.504,92 ; 32.313,73 ; 31.063,68 ; 30.224,16 ; 29.476,21 ; 28.470,94 ; 28.204,49 ; 27.480,71 ; 27.571,31 ; 27.786,57 ; 26.915,07 ; 26.535,61 ; 26.370,36 ; 26.593,70 
La Rioja; 26.319,06 ; 24.903,38 ; 23.716,88 ; 23.292,63 ; 22.877,13 ; 22.641,17 ; 22.234,21 ; 21.999,02 ; 21.756,79 ; 21.954,10 ; 20.628,81 ; 20.346,24 ; 20.996,76 ; 21.035,86 
;;;;;;;;;;;;;;
